photo_id,accepted_symbol,license,extension,observer_id
"10922335","ABAB","CC-BY-NC","jpeg","167064"
"10922339","ABAB","CC-BY-NC","jpeg","167064"
"10922344","ABAB","CC-BY-NC","jpeg","167064"
"12371249","ABAB","CC-BY","jpg","23016"
"12371250","ABAB","CC-BY","jpg","23016"
"12371251","ABAB","CC-BY","jpg","23016"
"12371253","ABAB","CC-BY","jpg","23016"
"12371255","ABAB","CC-BY","jpg","23016"
"12371256","ABAB","CC-BY","jpg","23016"
"13343704","ABAB","CC-BY-NC","jpeg","750774"
"13343716","ABAB","CC-BY-NC","jpg","750774"
"13343718","ABAB","CC-BY-NC","jpg","750774"
"13343749","ABAB","CC-BY-NC","jpeg","750774"
"13343751","ABAB","CC-BY-NC","jpeg","750774"
"13343760","ABAB","CC-BY-NC","jpeg","750774"
"13343774","ABAB","CC-BY-NC","jpeg","750774"
"13343780","ABAB","CC-BY-NC","jpg","750774"
"13343785","ABAB","CC-BY-NC","jpeg","750774"
"13343818","ABAB","CC-BY-NC","jpeg","750774"
"13343830","ABAB","CC-BY-NC","jpg","750774"
"13343831","ABAB","CC-BY-NC","jpeg","750774"
"4810775","ABAB","CC-BY-NC","jpg","168545"
"4810777","ABAB","CC-BY-NC","jpg","168545"
"4810780","ABAB","CC-BY-NC","jpg","168545"
"4810783","ABAB","CC-BY-NC","jpg","168545"
"5119974","ABAB","CC-BY-NC","jpeg","167064"
"5119975","ABAB","CC-BY-NC","jpeg","167064"
"5119976","ABAB","CC-BY-NC","jpeg","167064"
"10075098","ABAB70","CC0","jpg","604217"
"11006875","ABAB70","CC0","jpeg","63000"
"11794807","ABAB70","CC-BY-NC","jpeg","641923"
"4230730","ABAB70","CC-BY-NC","jpg","111581"
"5100299","ABAB70","CC-BY-NC","jpg","114283"
"5680331","ABAB70","CC-BY-NC","jpeg","109098"
"5721020","ABAB70","CC-BY-NC","jpeg","109098"
"7678154","ABAB70","CC-BY-NC","jpg","322275"
"8428987","ABAB70","CC-BY","jpeg","303791"
"10227126","ABAL","CC-BY-NC","jpg","25574"
"136165153","ABAL","CC-BY-NC","jpg","819046"
"141091658","ABAL","CC-BY-NC","jpg","2670049"
"144265784","ABAL","CC-BY-NC","jpeg","798366"
"144265803","ABAL","CC-BY-NC","jpeg","798366"
"144265833","ABAL","CC-BY-NC","jpeg","798366"
"144267038","ABAL","CC-BY-NC","jpeg","798366"
"144267062","ABAL","CC-BY-NC","jpeg","798366"
"144267092","ABAL","CC-BY-NC","jpeg","798366"
"144267129","ABAL","CC-BY-NC","jpeg","798366"
"145466749","ABAL","CC-BY-NC","jpeg","264829"
"145466767","ABAL","CC-BY-NC","jpeg","264829"
"145466849","ABAL","CC-BY-NC","jpeg","264829"
"145466870","ABAL","CC-BY-NC","jpeg","264829"
"145466886","ABAL","CC-BY-NC","jpeg","264829"
"147051372","ABAL","CC-BY-NC","jpg","416651"
"148127579","ABAL","CC-BY-NC","jpg","416651"
"209190549","ABAL","CC-BY-NC","jpg","5283464"
"49680318","ABAL","CC-BY-NC","jpg","1392908"
"9574509","ABAL","CC-BY-NC","jpeg","71302"
"9574637","ABAL","CC-BY-NC","jpeg","71302"
"1040131","ABAM","CC-BY-NC","JPG","46945"
"1105855","ABAM","CC-BY","jpg","46628"
"1458860","ABAM","CC-BY-NC","jpg","20035"
"2129504","ABAM","CC-BY-NC","jpg","3494"
"2129505","ABAM","CC-BY-NC","jpg","3494"
"2315054","ABAM","CC-BY-NC","jpg","2544"
"3748341","ABAM","CC-BY-NC","jpg","233188"
"4167423","ABAM","CC-BY-NC","jpg","233188"
"4264052","ABAM","CC-BY-NC","jpg","178946"
"842109","ABAM","CC-BY-NC","jpg","20035"
"842110","ABAM","CC-BY-NC","jpg","20035"
"842111","ABAM","CC-BY-NC","jpg","20035"
"842112","ABAM","CC-BY-NC","jpg","20035"
"10239522","ABAM2","CC-BY-NC","jpeg","380122"
"10239526","ABAM2","CC-BY-NC","jpeg","380122"
"110946791","ABAM2","CC-BY-NC","jpeg","380122"
"117900433","ABAM2","CC-BY-NC","jpeg","71302"
"117900439","ABAM2","CC-BY-NC","jpeg","71302"
