acceptedSymbol,taxon_id
"ABAM","75240"
"ABBA","54261"
"ABBAB","194516"
"ABBAP","194518"
"ABBR","69867"
"ABCO","68087"
"ABFR","136317"
"ABGR","63690"
"ABLA","75241"
"ABLAA","194527"
"ABLAL","80287"
"ABLO","194532"
"ABMA","68090"
"ABMAM","68085"
"ABMAS","68086"
"ABPR","75242"
"ABAB70","157814"
"ABOV","157815"
"ABAU3","638034"
"ABAL","75243"
"ABAM2","157816"
"ABAM3","157817"
"ABAN","157818"
"ABAR","157819"
"ABBI","53803"
"ABBO","196562"
"ABCA","157820"
"ABEL","148052"
"ABFR2","157822"
"ABGR2","157823"
"ABIN2","157824"
"ABLA2","52618"
"ABMA5","157825"
"ABMA2","75244"
"ABME","157827"
"ABMI2","157828"
"ABNA","75245"
"ABNAC","80288"
"ABNAH","239041"
"ABNAN","1334992"
"ABNE","157830"
"ABPO","58209"
"ABTU","75246"
"ABUM","53801"
"ABUMB","53802"
"ABUMU","53800"
"ABVI","50164"
"ABVIA","50165"
"ABVIV","318197"
"ABAB","157833"
"ABBE","157836"
"ABER","157837"
"ABFR3","157838"
"ABHU","157841"
"ABHY","157842"
"ABIN","157843"
"ABIN3","157844"
"ABINA","1477366"
"ABMA3","157845"
"ABME2","126839"
"ABMO2","157847"
"ABPA","75247"
"ABPA2","157849"
"ABPA3","75248"
"ABPE","157851"
"ABRE","157852"
"ABSA2","157853"
"ABTH2","157854"
"ABTR","157855"
"ABWR","157857"
"ACEM","287711"
"ACAN","157858"
"ACANC","239043"
"ACANH","239044"
"ACANL","NaN"
"ACANS","239045"
"ACANS2","239046"
"ACBE","157859"
"ACCH","157860"
"ACCO2","127118"
"ACCOC","127117"
"ACCOP9","239048"
"ACFA","793527"
"ACGR","552131"
"ACGRG3","239049"
"ACGRW","239050"
"ACKO","82376"
"ACKO2","125201"
"ACMA","157867"
"ACMI","157869"
"ACMU","526632"
"ACNE4","157870"
"ACPI","69979"
"ACRE4","348374"
